Company,Business Registration,Year of Incorporation,Chief Executive,CEO Position,Business Enquiry,Business Contact Person Position,Office Address,Postcode,City/Town,State,Country,Telephone,Fax,Email,Website,Production Processes,Products Manufactured/Business Line,Current Export Markets
Hong Yik Plastics (M) Sdn Bhd,497971-P,2000.0,Hoog Kong Ming,Director,Hong Yuexu,Manager,"Lot 7508, Jalan Batu Tiga, Bukit Cherakah, Kg Baru Subang",40150.0,Shah Alam,Selangor,Malaysia,603-7859 1385,603-7859 1379,bcsiong@frank-group.com,www.hongyik.com,Extrusion,"PVC Corner Bead for Building Material , Industrial and Construction - Products and Parts",
Honda Trading Malaysia Sdn Bhd,726416-K,2006.0,Kenichi Akiba,General Manager,Chew Lai Tyng,Manager (Resin Dept),"B-08-07 & 08, Level 8, USJ 25/1, Sky Park One City",47650.0,Subang Jaya,Selangor,Malaysia,603-5022 3160,603-5022 3170,info@dynaplast.com.my,asia.hondatrading.com,,"Resins Distributor, Products Distributor",Vietnam
Hond Tat Industries Sdn Bhd,116343-D,1984.0,Teoh Kian Hoe,Managing Director,Teoh Khye Jiat,,"3, Jalan Wawasan 2/KU7, Batu 6 Off Jalan Kapar, Taman Perindustrian Sungai Kapar Indah, Klang",42200.0,,Selangor,Malaysia,603-3291 2288,603-3291 1221/3291 2044,,www.hondtat.com,"Blow Moulding, Compounding, Film Blowing/Film Extrusion, Film Casting, In-Line and Off-Line Gravure Printingup to Seven Colours, Bag Conversion and Slitting","Courier Bags, Loop Handle Carriers, Patch Handle Carriers (Welded/Glued), Diaper Bags, Diaper Backing Sheet, PE Film for Lamination, T-Shirt Bags, Punched-out Handle Carriers, Drawtape Bags on Roll, Star-Sealed Bags and Roll, Garbage Bags, Bin Liners, Retail Packs, Jerrycan, Polymeric Calcium Carbonate, Films and Bags","United Kingdom, Europe, South Asia, Australia, Japan"
Hon Chuan Malaysia Sdn Bhd,911364-M,2010.0,Bill Li Cheng Yu,General Manager,Lim Joe Seng,Sales Executive,"PT. 29469, Lengkok Teknologi 3, Kawasan Perindustrian Tech Park @ Enstek, Bandar Enstek",71760.0,Seremban,Negeri Sembilan,Malaysia,606-798 4688,606-798 4739,cksiow@elitebase.com.my,www.honchuan.com/tw,"Injection Moulding, Compression Moulding, Blow Moulding","Plastic Caps, Preforms and Bottles, Packaging","Philippines, Thailand, Singapore, Vietnam, Indonesia, Myanmar"
Hoe Seng Plastic Industries Sdn Bhd,524948-W,2000.0,Teh Hock Eng,Director,Teh Guan Hock,Director,"746, Padang Benggali, Teluk Air Tawar, Butterworth",13050.0,,Pulau Pinang,Malaysia,012-489 8400,604-356 7279,info@ecopower.com.my,,Recycling,"Recycled Resins - LDPE, HDPE. PP",
HLK Plastic Trading (M) Sdn Bhd,1358255-P,2020.0,Low Teck Liang,Managing Director,Low Teck Liang,Managing Director,"No. 8, Jalan Bayu 6, Bandar Seri Alam, Masai",81750.0,,Johor,Malaysia,6012-719 6553,,khtiew@ecomold.com.my,,Film Blowing/Film Extrusion,"Plastic Bags, Bags/Films, Packaging",
HL Packaging & Industry,JM 0369014-W,2002.0,Haw See Chin,Manager,Haw See Chin,Manager,"30, Jalan Kempas 2/4, Kawasan Perindustrian Tampoi",81200.0,Johor Bahru,Johor,Malaysia,607-234 1009,607-234 1019,info@ecoplas.com.my,,"Film Blowing/Film Extrusion, Printing, Cutting","Films, Films and Bags",
HKS Century Sdn Bhd,1252540-T,2017.0,Kwa Lay Beng,Director,Mun Kok Kin,Director,"C-1-3 (First Floor), Blok C BBT One, Lebuh Batu Nilam 2, Bandar Bukit Tinggi",41200.0,Klang,Selangor,Malaysia,603-3318 7328,,info@ee-lian.com,,Extrusion Pelletising (Recycling),"Recycled Plastic Resin - LDPE, PP, PS, ABS, PE Pellet","China, India, Korea"
HKC Plastic Industries,JM0212983-H,,,,Hum Kok Cheng,,"22, Jalan Emas Jaya 1, Tongkong Pecah, Batu Pahat",83010.0,,Johor,Malaysia,607-4153 826,607-4154 826,eesinplastics@gmail.com,,Film Blowing/Film Extrusion,"Polybags, Films and Bags",
Hightech Polymer Sdn Bhd,199897-U,1990.0,Lee Meng Han,Managing Director,Goh Oon Teong,General Manager,"Lot 2969, MK 16, Kawasan Perusahaan Acku, Seberang Perai Utara",13400.0,Butterworth,Pulau Pinang,Malaysia,604-324 3800/8,604-324 3811,egrowthsb@gmail.com,www.hightech.com.my,,"Machinery Supplier, Equipment Supplier, Resins",
Hiroyuki Industries (M) Sdn Bhd,534694-P,2000.0,Nakata Hiroyuki,Managing Director,Law Wei Gee,General Manager,"160, Jalan Murni 12, Taman Perindustrian Murni",81400.0,Senai,Johor,Malaysia,607-598 5211,607-599 6211,ehpind@gmail.com,www.hiroyuki-ind.com.my,"Film Blowing/Film Extrusion, Tape Extrusion",,
Highfield Industries (M) Sdn Bhd,741140-T,2006.0,,,Roy Ng,,"85, Jalan Idaman 1/3, Taman Desa Idaman, Senai",81400.0,,Johor,Malaysia,607-5980 029,607-5980 031,,,Recycling,"Recycling, Contract Crushing, Contract Pulverizing, Representative of New Machinery and Accessories Like Knife for Pulverizer Machine, Crusher Machine and Other Related Machinery for Recycling. Make to order Pulverizer Machine, Crusher Machine, Separation Machine and all Related Accessories, Recycling","Indonesia, Thailand, Vietnam"
High Ace Industries Sdn Bhd,,1994.0,Lim Aun Ghee,Managing Director,,,"Plot 9, Lorong Perusahaan Bukit Minyak 7, Kawasan Perusahaan Bukit Minyak, S.P.T",14100.0,,Pulau Pinang,Malaysia,604-507 1888,604-507 0118,marketing@electrofast.com.my,www.highace.com.my,,Others,
Hicom-Teck See Manufacturing Malaysia Sdn Bhd,230574-H,1991.0,Lim Sheng Sun,Chief Executive Officer,Yau Kian Min,Sr. Manager - Business Development,"Lot 75A & 76, Jalan Sementa 27/91, Section 27, Shah Alam",40000.0,,Selangor,Malaysia,603-5191 6077,603-5191 6091,elimind@streamyx.com,www.hicomtecksee.com.my,"Injection Moulding, Painting, Assembly, Electro Plating","Bumper Module, Instrument Panel Assy Module, Door Module, Interior and Exterior Plastic Parts Chrome Parts for Automotive, Non-Automotive, Mobile Garbage Bins, Road Barrier, OEM Manufacturing","United States, China"
HI-Q Global Sdn Bhd,1476263936,2008.0,Lee Kok Kien,Director/Operation Manager,Lee Kok Kien,Director/Operation Manager,"No. 3343, Jalan Perkelling Tanjung 27, Kawasan Perindustrian Indahparu",81000.0,Kulai,Johor,Malaysia,607-660 6388,607-660 6883,francis@emico.com.my,www.hiqplastic.com,Thermoforming,"Tray, Packaging - Others",Singapore
Hexagon Plastic Industries Sdn Bhd,381101-U,1996.0,Patrick Yap,,Eric Ho Yueh Nam,,"21, Jalan Utarid U5/15, Seksyen U5, Shah Alam",47301.0,,Selangor,Malaysia,603-7845 6989,603-7845 7989,sue.chia@engel.com.sg,,"Blow Moulding, Injection Moulding, UV Printing (Silkscreen)","Bottles - Toiletries - up to 3L , Household , Food and Beverage. Caps - Toiletries, Food and Beverage, Containers and Bottles",
Hexagon Quest Sdn Bhd,427990-T,1997.0,Phoon KK,Managing Director,Daniel Phoon,Asst. General Manager,"9 & 10, Jalan Mega B, Taman Industri Mega, 43500 Semenyih, Selangor, Malaysia",43500.0,Semenyih,Selangor,Malaysia,03-82107477,,enhanceplastic@yahoo.com,www.hexagonquest.com,"Blow Moulding, PP Flip Top Cap Injection","PET Bottle, PET Wide Mouth Jar, PP Flip Top Caps, Toiletries Bottles, Food and Beverage Bottles, PET 2 Piece Can EOE (Easy Opening End) , Containers and Bottles, Toiletries/Personal Items","Philippines, Indonesia, Singapore, Brunei, Australia"
Heubach Colorants Malaysia Sdn Bhd,197801001591 (38607-X),1978.0,Chong Han Kim,Director,Vince Wee,Sales Manager,"80, Hicom Sector B, Jalan Teluk Gadung 27/93A",40000.0,Shah Alam,Selangor,Malaysia,603-5101 2836,,melvinsaw@enviro.asia,www.heubach.com/,,,
Heveaplast (M) Sdn Bhd,119868-U,1988.0,BT Wong,Director,Ms Hoo,Marketing and Admin Executive,"11 Jalan 1/1, Kawasan Perusahaan Olak Lempit, Banting",42700.0,,Selangor,Malaysia,603-3149 2713,603-3149 1712,enviroplussdnbhd@gmail.com,www.heveaplast.com.my,"Profile Extrusion, Co-Extrusion of Two Colours/Two Materials Profiles and Tubings","ABS Extruded Profiles, PE Extruded Profiles, PP Extruded Profiles, PVC Extruded Profiles, Elastomers, OEM Manufacturing (Extrusion), Weather Strip Far Window, Weather Strip Trunk Lid, Weather Strip Hood, Weather Strip Door, Weather Strip Wind Screen, Industrial and Construction, OEM Manufacturing, Transportation","Singapore, Brunei, Japan, United States, United Kingdom, France, Denmark, Vietnam, Philippines, Australia, United Arab Emirates"
Heng Hiap Industries Sdn Bhd,,2002.0,Seah Kian Hoe,Managing Director,Seah Kian Hoe,Managing Director,"Plot 138, Jalan Nibong, Kawasan Perindustrian Tanjung Langsat, Pasir Gudang",81700.0,,Johor,Malaysia,607-256 2886,607-256 2885,aossgrand@hotmail.com,www.henghiap.com,Recycling,"Industrial and Construction, Transportation",
Helistrom Sdn Bhd,,1998.0,Kelvin Low Chee Kuong,Managing Director,Chua Kok Ann,Manager,"647 & 648, Jalan Idaman 3/9, Kawasan Perindustrian Desa Idaman, Senai",81400.0,,Johor,Malaysia,607-59999 069,607-5999 095,zhern@epdplastic.com,www.helistrom.com/v1,"Compounds, Recycling","Compounds, Electrical and Electronics, Houseware, OEM Manufacturing, Telecommunication, Transportation","Jakarta, China, Vietnam, Batam, Singapore"
Hee Plastic Industries Sdn Bhd,67595-D,1981.0,Yap Seng Hee,Director,Yap Mun Chuan,Director,"Lot 5A, Jalan Sg Kayu Ara 32/38, Berjaya Industrial Park, Seksyen 32, Shah Alam",40460.0,,Selangor,Malaysia,6012-484 9961,,seamarketing@epicor.com,www.heeplastic.com,"Blow Moulding, Injection Moulding , Silkscreen-painting, Heat Transfer (Decal), PVC Shrink Labeling","Precision Injection Parts, Industrial Products, Bottles, Flask, Caps, Cups, Plates, Bowls, Hangers, Clips, Photo Frames, Mirror Frames, Ice-cream Containers, Cookies Containers, Milk Powder Containers. Laundry Basket, Disposal Plastic Wares, Cutlery, Containers and Bottles, Cutlery, Houseware, OEM Manufacturing, Promotional and Premium Gift Items","Singapore, Middle East, Japan, Australia, Europe, Vietnam, New Zealand"
HD Plastic Sdn Bhd,217487-W,1990.0,KS Habib,Director,Sirajudin KS Habib,Director,"5-01, Jalan Putra 1, Taman Sri Putra, Johor Bahru",81200.0,,Johor,Malaysia,607-556 1002,607-556 8002,keongho.ng@epsilon-group.com,www.hdplastic.com.my,Film Blowing/Film Extrusion,"VTC Plain Bags, VTC Printed Bags, Candy Bags with Striped, Butcher, Rolls, Bin Liners, Knot, Garbage Bags on Rolls, Films and Bags","Europe, United States, Ireland, United Kingdom"
Harmo Co (Malaysia) Sdn Bhd,175253 - H,1988.0,Osaki Takuya,Managing Director,Melvin Shak,Sales Representative,"Lot 0034, Kompleks Sentra, No. 33, Jalan Segambut Atas",51200.0,Kuala Lumpur,Wilayah Persekutuan,Malaysia,603-6251 2057,,eebm@eshrm.com,www.harmo-net.co.jp,,"Machinery and Auxiliary Equipment Sales & Service, Injection Moulding Robot , i4.0 Solution Providers",
Hai Luck Plastic Trading Co,429004-V,1977.0,Eui Thim Hai,Sole Proprietor,Eui Thim Hai,Sole Proprietor,"TBP 4038, MK 11, Kebun Sireh, Bukit Tengah, Bukit Mertajam, Provinc Wellesley",14000.0,,Pulau Pinang,Malaysia,604-507 6691/017-5009148,604-507 5962,,,Film Blowing/Film Extrusion,"Shopping bags, T-Shirt Bags, Films and Bags",
Ha Pack Industry Sdn Bhd,,2010.0,Tock Heng Aun,Director,Tock Heng Aun,Director,"PMT 763, Jalan Cassia Selatan 3/8, Taman Perindustrian Batu Kawan, Bandar Cassia",14110.0,,Pulau Pinang,Malaysia,604-589 9938,,europlas1992@gmail.com,ha-pack.com/,Thermoforming,"Thermoforming Tray, LDPE Bags, HDPE Bag, MBB Bag, PU Foam and PE Foam, Containers and Bottles, Films and Bags, Foam","USA, Germany, Thailand, China, India"
Hai Guan Heng Co Sdn Bhd,,1978.0,Saw Kok Leng,Director/CEO,Saw Kok Leng,Director/CEO,"51, Unit 14-E, Menara BHL, Jalan Sultan Ahmad Shah",10050.0,,Pulau Pinang,Malaysia,"604-228 1146, 227 6158/6040",604-228 5068,enquiry@euromalaysia.com,,,"Chemicals, Resins",
H.D. Homeware (M) Sdn Bhd,454411-P,1995.0,Khor Eng Chye,Partner,Khor Eng Chye,Partner,"29, Persiaran Rishah 7, Kawasan Perindustrian Silibin, Ipoh",30100.0,,Perak,Malaysia,605-527 9441,605-527 0526,eurocanplastics@yahoo.com,www.hdhomeware.com.my,Injection Moulding,Houseware,
GWI Manufacturing Sdn Bhd,280023-X,1993.0,Allen Cheng,Managing Director,Francis Lee Peck Chye,General Manager,"12, Jalan Canggih Satu, Taman Perindustrian Cemerlang, Ulu Tiram, Johor Bahru",81800.0,,Johor,Malaysia,607-861 2832,607-861 7816,,,"Thermoforming, High Frequency Welding, Silkscreen-painting, Pad-printing","Plastic Vacuum Forming Tray and Cover, Blister and Clamshell, Display/Gift Box, Promotional and Premium Gift Items","Singapore, Indonesia, United States, Thailand, Japan"
GWG Manufacturing (M) Sdn Bhd,202101043946 (14444246-M),2021.0,Tan Yu Zhan,Managing Director,,,"34, Jalan Saga Jaya, Taman Perindustrian Saga Jaya, Prai",13600.0,,Pulau Pinang,Malaysia,6012-4858 593,,info@everwinplastic.com,,Cast Film,"Stretch Film , Packaging - Bags/Films",
Guppy Plastic Industries Sdn Bhd,76939-U,1981.0,Ng Kiat Guan,Executive Chairman,Goh Boon King,General Manager,"Lot 15-19, Lorong 3A, Kawasan Perusahaan Cheras Jaya, Jalan Balakong, Cheras",43200.0,,Selangor,Malaysia,603-9075 3888,603-9075 1688,info@everydaybrush.com,www.guppyplastic.com,"Injection Moulding, Spray-painting, Silkscreen-painting, Pad-printing, Ultrasonic Welding","Householdwares, Gardening Items, Industrial Items, Disposable Cutlery/Containers, OEM for Automotive Parts, Electronic and Engineering Parts, Semiconductor Packaging, Pet Products, Crates, Containers and Bottles, Cutlery, Electrical and Electronics, Gardening, Houseware, Industrial and Construction, OEM Manufacturing, Pet Products and Accessories, Compounds, Masterbatches, Pigments","United States, Canada, England, Germany, Australia, New Zealand, South East Asia, France, Dubai, Jordan, Egypt, Saudi Arabia, Denmark, Netherlands, Poland, Japan"
Guan Heng Trading Co,,,Lim Teik Chooi,Managing Partner,Lim Teik Chooi,Managing Partner,"142, Lebuh Victoria",10300.0,,Pulau Pinang,Malaysia,604-261 8849,604-261 8849,sllau@excelmould.com.my,,,Others,
Guppy Plastic Industries (Penang) Sdn Bhd,1113753X(2014037608),2014.0,Goh Boon King,Chief Executive Officer,Loo Yew Khim,Plant Manager Cum Chief Technical Officer,"1537, Lorong Perusahaan Utama 3, Kawasan Perusahaan Bukit Tengah",14000.0,Bukit Mertajam,Pulau Pinang,Malaysia,604-503 2828,604-507 2828,exlpipe@qchb.com.my,guppyplastic.com/,"Injection Moulding, Sub-Assembly, Module Assembly Mold, Tools and Die","Automation, Electrical and Electronics, Personal Care & Hygiene, Pharmaceutical & Medical, Printing & Imaging Solution. OEM/ODM - Continental, TOSHIBA, KONICA MINOTA, STEELCASE, TDK, PLEXUS, FLEX, PARAMIT, KLS MARTIN. OEM/ODM - CONTINENTAL, TOSHIBA, KONICA MINOLTA, STEELCASE, TDK, PLEXUS, FLEX, PARAMIT, KLS MARTIN. , Transportation, Electrical and Electronics, Furniture, Bathroom/Toilet, Medical and Pharmaceutical","Europe, Brazil, Philippines, China, USA, Thailand"
Guan Hong Plastic Industries Sdn Bhd,,2013.0,Tin Hee Hau,Managing Director,Tin Hee Hau,Managing Director,"8394, Kawasan Perindustrian KG Teluk, Sg Dua, Butterworth",13800.0,,Pulau Pinang,Malaysia,604-356 1891,604-356 4988,,,Injection Moulding,"Houseware, Kitchenware and Tableware, Houseware",
GT-Max Plastic Industries (M) Sdn Bhd,601982-K,2002.0,Gan Thiam Kok,Managing Director,Felix Ho,Sales Director,"Lot 4971, Jalan Teratai/KU 08 Kawasan Perindsutrian Meru Timur Batu 5 ½ Off Jalan Meru, Klang",41050.0,,Selangor,Malaysia,603-3392 6868,603-3392 6969,nicholas.yap@exxonmobil.com,www.gt-max.com.my,Cast Extrusion & Blown Extrusion,"Stretch Films, Stretch Hood, Shrink Films, Builder Films, Agriculture and Aquaculture Films, Perforated Films, Printed Films, Industrial Heavy Duty Films, Melt Bag, Mattress Bags, Garbage Bag, Singlet/T-Shirt Bags , Agricultural Products and Accessories, Films and Bags, Recycled Products","Asia, South East Asia, Ocenia, Middle East, Europe, South Africa, North America, Latin America"
Greenland Plastics Industries (M) Sdn Bhd,37291-M,1972.0,Chia Mui King,Managing Director,Chia Mui King,Managing Director,"Plo 214, Jalan Angkasa Mas Utama, Kawasan Perindustrian Tebrau II, Johor Bahru",81100.0,,Johor,Malaysia,607-355 9088,607-355 9091,arycia@exzone.com.my,www.greenlandplas.com,"Pipe Extrusion, Profile Extrusion","PVC Hoses, Suction Hoses, Duct Hoses, PVC Conduits, Cable Trunking, HDPE Pipes, Corrugated Flexible Conduits, Insulation Foam Tubes, Spring Reinforced PVC Hose, Spiral PE Band, Foam, Industrial and Construction",
Green Highland Plastic Sdn Bhd,1220435-U,2017.0,Tan Chang Khai,Managing Director,Tan Chang Khai,Managing Director,"14, Jalan Tiram Sejahtera 1, Taman Perindustrian Tiram, Sejatera",,Ulu Tiram,Johor,Malaysia,607-862 7576,607-862 7375,,,,,
Green Eastwood Sdn Bhd,830043-H,2008.0,Lim Sze Aik,Director,Khor Kheng Im,Director,"103-2, Jalan Prima SG3/2, Prima Sri Gombak",68100.0,Batu Caves,Selangor,Malaysia,603-6186 3323/6013-2862 837,603-6189 3323,feromaltech@gmail.com,www.gewood.my,Yarn Extrusion,"PP Woven Bags, HDPE/LLDPE Process to Liner Bags , Films and Bags","Indonesia, Singapore"
Great Line Success Sdn Bhd,1084304-X,2014.0,Lye Kim Hock,Director,Lye Kim Hock,Director,"Plot 19-12, Jalan PKNK 1/10, Kawasan Perindustrian Sungai Petani",,,Kedah,Malaysia,"604-4424 932, 6012-4945 235",604-4424 895,infomy@fibertexpersonalcare.com,www.greatlinesuccess.com/,"Film Blowing/Film Extrusion, Foam Moulding","Plastic Bag, Bubble Roll/Bag, Foam, OPP Tape, Masking Tape, Stretch Film,  Packaging Film/Bag","Singapore, Thailand"
Great Cosmo Industries Sdn Bhd,736380-K,2006.0,Cosmo Teo,Managing Director,Cosmo Teo,Managing Director,"Lot 9674G, Batu 11, Desa Aman",47000.0,Sg Buloh,Selangor,Malaysia,603-6157 7899,603-6156 3899,contact@nordintech.com,www.greatcosmo.com,Blown Film Extrusion,"Construction Film, Builders Films , Industrial and Construction - Products and Parts","Australia, New Zealand, Pacific Islands"
Grace Bashan Sdn Bhd,201401043784,2014.0,Augustine Chua,Director,Augustine Chua,Director,"23, Jalan Clover 1, Clover Garden Residence, Persiaran Harmoni",63000.0,Cyberjaya,Selangor,Malaysia,6012-2013 444,,general@chongwahgroup.com,www.gracebashan.com/,,"Machinery Supplier, Resins Distributor",
GPI Packaging Sdn Bhd,508866-V,2000.0,Alex Lee,Director,Kevin Hah,Director,"Plot 17A, Medan Tasek, Kawasan Perindustrian Tasek, Ipoh",31400.0,,Perak,Malaysia,605-546 1046,605-548 0946,firstpackagingsb@gmail.com,,"Film Blowing/Film Extrusion , Printing, Bag Making, Slitting","Films and Bags , Films and Bags","Indonesia, Maldives"
Gouden Sdn Bhd,744652-H,2006.0,Alfred Tan,Managing Director,Alfred Tan,Managing Director,"39, Persiaran Kilang Pengkalan 22",,Ipoh,Perak,Malaysia,605-322 0968/6012-236 1616,605-3220 969,info@fitson.com,www.gouden.com.my/,,Trading (Resin & Additives),"Thailand, Singapore"
Golden Pet Industries Sdn Bhd,7195-W,1967.0,Lam Sang,Managing Director,Lam Sang,Managing Director,"33, Lebuh Perusahaan Klebang 11, Kawasan Perusahaan IGB, Chemor, Ipoh",31200.0,,Perak,Malaysia,605-291 2130/2148/2133,605-291 2171/172,general@foampack.com.my,www.goldenpet.com.my,"Blow Moulding, Injection Moulding, Stretch-Blow Moulding, Injection Blow Moulding","PET Preform (28mm PCO neck finished : 17g, 32g, 35g, 21g, 38gm, 30/25 mm neck finished : 27g, 29g), PET Bottle (Mineral Water/Water - Volume up to 5.5 litre), Detergent, Pharmaceutical, Shampoo/Cosmetic, Juice/Cordial and Other Custom Made Use, Closure (28mm PCO for Mineral Water and Carbonated Drink Bottle, 30/25mm Cap for Mineral Water Bottle, Toothbrush (Morning Kiss Brand - Two Component Handle/Single Component Handle and Tongue Cleaner), Containers and Bottles, Medical, Toiletries Personal Items","Singapore, Brunei, South America, Papua New Guinea, India, United States"
Goldolphin (M) Sdn Bhd,530137-U,2000.0,,,Yap Hook Chai,Director,"7, PSS 2, Taman Perindustrian Sungai Sedu, Banting",42700.0,,Selangor,Malaysia,603-3191 3622,603-3191 3630,irene@megafoam.com,www.goldolphin.com.my,Injection Moulding,"Cistern Internal Fitting, Industrial and Construction","Hong Kong, Bangladesh, Turkey, South Africa, Sri Lanka, Sudan, Australia"
Golden Mile Plastic Resources Sdn Bhd,1220674-W,2017.0,Yip Chee Keong,Director,Balanmurugan A/L Mariapan,Operation Manager,"No. C-1-3, (1st Floor), Block C, BBT One, Lebuh Batu Nilam 2, Bandar Bukit Tinggi",41200.0,Klang,Selangor,Malaysia,03-3325 1880,,steve@focuspigment.com.my,,Extrusion Pelletising (Recycling),"Recycling Plastic Pellets (PS, PP, ABS), Recycled Resin","China, India, Korea"
Golden Balance Green Resources Sdn Bhd,1059796-D,2013.0,Chay Jian Xian,Director,,,"Lot 717, AL 2100, Jalan Welfare, Kampung Baru Sungai Buloh",,,Selangor,Malaysia,603-6151 0981,603-6140 3002,molly@fookhuat.com.my,,Extrusion Pelletising (Recycling),Recycled Raw Materials - LLDPE,China
Gold Mine Polymer Enterprise,1229946-D,2012.0,Max Koh Soon Sheng,Director,Sam Koh Ye Shen,Marketing,"5, Jalan Mutiara Emas 5/3, Taman Mount Austin",81100.0,,Johor,Malaysia,6016-723 8041,607-861 8987,albert@foray.com.my,www.goldminepolymer.com,"Compounding, Extrusion Pelletising, Recycling",Recycled Products,"Japan, Singapore, China, Hong Kong, Australia"
Gold Bell Industries Sdn Bhd,99861-X,1983.0,Tan Wei Kuang,Executive Director,Tan Kark Bin,Senior Executive Director,"22, 24 & 26, Jalan Petai, Pandamaran Industrial Estate, Port Klang",42000.0,,Selangor,Malaysia,603-3168 6892,603-3167 1678/3168 0076,formrite@yahoo.com,www.goldbell.com.my,"Blow Moulding, Film Blowing/Film Extrusion","HDPE Bottles Ranging from 200 ml to 25 Liter for AGRO Chemicals and Industrial Usage, LDPE Plastis Sheets, Rolls and Bags (Shrinkable) for Packaging and Others, Injection Products, Caps, Plastic Parts, Containers and Bottles, Films and Bags, Industrial and Construction, Medical",
Gogreen Plus Sdn Bhd,1235148-A,2017.0,Chai Min Quan,Manager,Chai Min Quan,Manager,"2, Jalan Perak 1, Kawasan Perusahaan Sri Kulai",81000.0,Kulai,Johor,Malaysia,607-663 7877,,pyew@fragstar.com,,"Extrusion Pelletising (Recycling), Melt, Boil, Crashed Recycle Plastics Collected",Recycled Resin,
Glowmore Express Sdn Bhd,599448-M,2002.0,Lim Kiang Kok,Managing Director,Lim Kiang Kok,Managing Director,"Lot 7, Jalan Solok Sultan Hishamuddin 6, Kawasan Perusahaan Pelabuhan Utara",42000.0,Port Klang,Selangor,Malaysia,603-3176 0001,603-3176 0002,yplim8283@gmail.com,www.glowmoreexpress.com,Extrusion Pelletising (Recycling),"Pet Bottle Flakes, Pet Recycled Chip , Recycling","China, Korea, Taiwan, USA"
Glades Guppy Packaging Malaysia Sdn Bhd,1274641-K,2018.0,Goh Boon King,Director,Goh Boon King,Director,"Lot 37651 - 37652 Jalan Karunmas, Taman Desa Karunmas, Balakong",43300.0,,Selangor,Malaysia,603-8961 1288,603-8961 8788,peiching_lin@fuyucorp.com,www.gladesguppy.com/,"Injection Moulding, Forming(Paper)","Cutlery, Paper","Singapore, South Africa, Korea, Philippines, Indonesia, Taiwan, Thailand, Hong Kong, Japan, Vietnam, Saudi Arabia, Jordan, United Arab Emirates, Qatar, Lebanon, India, Cyprus, United States"
Global Farmer Solutions Sdn Bhd,1257481-X,2008.0,Kuan Mun Ming,Director,Kuan Chee Keat,Director,"21, Persiaran Perindustrian Pengkalan 9, Kawasan Perindustrian Pengkalan 1, Lahat",31500.0,,Perak,Malaysia,605-3217 177,605-3217 177,susie@fujiroto.com,www.globalfarmer.com.my,Thermoforming,Flower Pot and Trays,
GF Manufacturing Sdn Bhd,,,Khor Meow Siang,Managing Director,Wong Kwok Liang,General Manager,"Plot 7, 16 & 17, Jalan Makmur 2/7, Kawasan Industri Taman Makmur, Taman Makmur, NK, Sg. Seluang",9600.0,Lunas,Kedah,Malaysia,604-484 1826/1159/5793,604-484 1425,anny@fulijaya.com,,"Injection Moulding, Spray-painting, Tampo Printing, Hot Stamping, Assembly","Electronics Components, Audio and Telecommunication Parts, Automotive and Musical Components, Electrical and Electronics, Telecommunication",
George Fischer (M) Sdn Bhd,534801-X,2001.0,,,Tong Koh Wei/Catherine Chow,Head of Sales Industrial Solution-IS/Sales Manager-BT,"2, 4 & 6, Jalan Permata 3/KS09, Taman Perindustrian Air Hitam",41200.0,Klang,Selangor,Malaysia,603-3122 5585,603-3122 5575,info@diyoufibre.com.my,www.gfps.com.my,"Injection Moulding, Pipe Extrusion","Plastics Piping Systems for Utilities, Building Services and Industrial Applications with Pipes, Valves, Fittings and Jointing Techniques, Industrial and Construction, Medical",Worldwide
Gentari Renewables Sdn Bhd,967554-K,2011.0,Ghoh Ban Lee,Chief Executive Officer,Alexia Ng,"Specialist, C & I Malaysia & SEA","Tower One, PETRONAS Twin Tower, Kuala Lumpur City Centre",,,Kuala Lumpur,Malaysia,603-2051 5000,,eng@g-frp.com.my,www.gentari.com/,,,
Ge-Shen Plastic (M) Sdn Bhd,372089-V,1995.0,Melvin Wong Yee Keh,Managing Director,Melvin Wong Yee Keh,Managing Director,"68, Jalan Riang 21, Taman Gembira, Johor Bahru",81200.0,,Johor,Malaysia,607-335 5196/7788,607-335 7799,anuaruddinhanizan@gmail.com,www.ge-shen.com,"Injection Moulding, Spray-painting, Silkscreen-painting, Pad-printing, Sub-Assembly OEM","All Kinds of Plastics Moulded Products and Components, Plastic Mould, Tool, Die, P.U. Spray Painting, Spray Printing, Sub-assembly Process & Complete Assembly for Electrical and Electronic Industry, Electrical and Electronics, OEM Manufacturing, Telecommunication","Mexico, Brazil, India, United States, Argentina"
GC Plastic Industry Sdn Bhd,883716-X,2013.0,Lor Lean Sen,Managing Director,Lor Kin Mun,Director,"Lot 19, Lorong Perusahaan 3, Kulim Industrial Estate",9000.0,Kulim,Kedah,Malaysia,604-4891 818,604-4892 828,sytan@gandamaju.com,,"Extrusion Pelletising (Recycling) , Sorting, Crushing, Washing","Plastic Pallets, Plastic Flakes, Recycled Resin",China
